data_type,category,reference_unit,emory__total_number_of_stays,jhu__total_number_of_stays,mimic__total_number_of_stays,nu__total_number_of_stays,ohsu__total_number_of_stays,rush__total_number_of_stays,sunnybrook__total_number_of_stays,ucmc__total_number_of_stays,umn__total_number_of_stays,upenn__total_number_of_stays,all__total_number_of_stays,emory__total_observations,jhu__total_observations,mimic__total_observations,nu__total_observations,ohsu__total_observations,rush__total_observations,sunnybrook__total_observations,ucmc__total_observations,umn__total_observations,upenn__total_observations,all__total_observations,emory__total_distinct_observations,jhu__total_distinct_observations,mimic__total_distinct_observations,nu__total_distinct_observations,ohsu__total_distinct_observations,rush__total_distinct_observations,sunnybrook__total_distinct_observations,ucmc__total_distinct_observations,umn__total_distinct_observations,upenn__total_distinct_observations,all__total_distinct_observations,emory__mean_icu_los_days,jhu__mean_icu_los_days,mimic__mean_icu_los_days,nu__mean_icu_los_days,ohsu__mean_icu_los_days,rush__mean_icu_los_days,sunnybrook__mean_icu_los_days,ucmc__mean_icu_los_days,umn__mean_icu_los_days,upenn__mean_icu_los_days,all__mean_icu_los_days,emory__mean_icu_los_hours,jhu__mean_icu_los_hours,mimic__mean_icu_los_hours,nu__mean_icu_los_hours,ohsu__mean_icu_los_hours,rush__mean_icu_los_hours,sunnybrook__mean_icu_los_hours,ucmc__mean_icu_los_hours,umn__mean_icu_los_hours,upenn__mean_icu_los_hours,all__mean_icu_los_hours,emory__whole_stay_mean,jhu__whole_stay_mean,mimic__whole_stay_mean,nu__whole_stay_mean,ohsu__whole_stay_mean,rush__whole_stay_mean,sunnybrook__whole_stay_mean,ucmc__whole_stay_mean,umn__whole_stay_mean,upenn__whole_stay_mean,all__whole_stay_mean,emory__whole_stay_median,jhu__whole_stay_median,mimic__whole_stay_median,nu__whole_stay_median,ohsu__whole_stay_median,rush__whole_stay_median,sunnybrook__whole_stay_median,ucmc__whole_stay_median,umn__whole_stay_median,upenn__whole_stay_median,all__whole_stay_median,emory__whole_stay_iqr,jhu__whole_stay_iqr,mimic__whole_stay_iqr,nu__whole_stay_iqr,ohsu__whole_stay_iqr,rush__whole_stay_iqr,sunnybrook__whole_stay_iqr,ucmc__whole_stay_iqr,umn__whole_stay_iqr,upenn__whole_stay_iqr,all__whole_stay_iqr,emory__first_24hr_mean,jhu__first_24hr_mean,mimic__first_24hr_mean,nu__first_24hr_mean,ohsu__first_24hr_mean,rush__first_24hr_mean,sunnybrook__first_24hr_mean,ucmc__first_24hr_mean,umn__first_24hr_mean,upenn__first_24hr_mean,all__first_24hr_mean,emory__first_24hr_median,jhu__first_24hr_median,mimic__first_24hr_median,nu__first_24hr_median,ohsu__first_24hr_median,rush__first_24hr_median,sunnybrook__first_24hr_median,ucmc__first_24hr_median,umn__first_24hr_median,upenn__first_24hr_median,all__first_24hr_median,emory__first_24hr_iqr,jhu__first_24hr_iqr,mimic__first_24hr_iqr,nu__first_24hr_iqr,ohsu__first_24hr_iqr,rush__first_24hr_iqr,sunnybrook__first_24hr_iqr,ucmc__first_24hr_iqr,umn__first_24hr_iqr,upenn__first_24hr_iqr,all__first_24hr_iqr,emory__first_48hr_mean,jhu__first_48hr_mean,mimic__first_48hr_mean,nu__first_48hr_mean,ohsu__first_48hr_mean,rush__first_48hr_mean,sunnybrook__first_48hr_mean,ucmc__first_48hr_mean,umn__first_48hr_mean,upenn__first_48hr_mean,all__first_48hr_mean,emory__first_48hr_median,jhu__first_48hr_median,mimic__first_48hr_median,nu__first_48hr_median,ohsu__first_48hr_median,rush__first_48hr_median,sunnybrook__first_48hr_median,ucmc__first_48hr_median,umn__first_48hr_median,upenn__first_48hr_median,all__first_48hr_median,emory__first_48hr_iqr,jhu__first_48hr_iqr,mimic__first_48hr_iqr,nu__first_48hr_iqr,ohsu__first_48hr_iqr,rush__first_48hr_iqr,sunnybrook__first_48hr_iqr,ucmc__first_48hr_iqr,umn__first_48hr_iqr,upenn__first_48hr_iqr,all__first_48hr_iqr,emory__first_72hr_mean,jhu__first_72hr_mean,mimic__first_72hr_mean,nu__first_72hr_mean,ohsu__first_72hr_mean,rush__first_72hr_mean,sunnybrook__first_72hr_mean,ucmc__first_72hr_mean,umn__first_72hr_mean,upenn__first_72hr_mean,all__first_72hr_mean,emory__first_72hr_median,jhu__first_72hr_median,mimic__first_72hr_median,nu__first_72hr_median,ohsu__first_72hr_median,rush__first_72hr_median,sunnybrook__first_72hr_median,ucmc__first_72hr_median,umn__first_72hr_median,upenn__first_72hr_median,all__first_72hr_median,emory__first_72hr_iqr,jhu__first_72hr_iqr,mimic__first_72hr_iqr,nu__first_72hr_iqr,ohsu__first_72hr_iqr,rush__first_72hr_iqr,sunnybrook__first_72hr_iqr,ucmc__first_72hr_iqr,umn__first_72hr_iqr,upenn__first_72hr_iqr,all__first_72hr_iqr
labs,wbc,10^3/µl,10601.0,,,15808.0,6077.0,6001.0,,,,,38487,131709.0,,,191091.0,65449.0,68260.0,,,,,456509,131709.0,,,191091.0,65449.0,68260.0,,,,,456509,9.62,,,8.28,7.8,8.52,,,,,8.610725,230.86,,,198.78,187.2,204.54,,,,,206.685895,12.42,,,12.09,10.77,11.37,,,,,11.860207,6.0,,,5.0,6.0,7.0,,,,,5.745187,11.0,,,10.0,10.0,11.0,,,,,11.0,2.99,,,3.19,3.57,3.34,,,,,3.218301,2.0,,,2.0,2.0,2.0,,,,,2.0,3.0,,,2.0,3.0,3.0,,,,,3,4.69,,,5.04,5.26,5.14,,,,,4.993924,3.0,,,3.0,4.0,3.0,,,,,3.157897,3.0,,,4.0,4.0,4.0,,,,,4.0,5.94,,,6.35,6.36,6.4,,,,,6.246443,4.0,,,4.0,4.0,4.0,,,,,4.0,4.0,,,5.0,5.0,5.0,,,,,5.0
labs,monocytes_absolute,10^3/µl,3181.0,,3874.0,12022.0,3578.0,4643.0,,,,,27298,11799.0,,10465.0,80669.0,17684.0,27618.0,,,,,148235,11799.0,,10465.0,80669.0,17684.0,27618.0,,,,,148235,11.34,,8.77,8.59,7.77,8.51,,,,,8.814913,272.08,,210.46,206.18,186.42,204.31,,,,,211.558597,3.71,,2.7,6.71,4.94,5.95,,,,,5.430072,1.0,,2.0,3.0,2.0,3.0,,,,,2.493956,2.0,,2.0,6.0,4.0,6.0,,,,,6.0,0.87,,1.08,1.64,1.5,1.76,,,,,1.472861,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,0.0,1.0,1.0,1.0,,,,,1,1.32,,1.41,2.63,2.16,2.61,,,,,2.239205,1.0,,1.0,2.0,1.0,2.0,,,,,1.610484,1.0,,1.0,2.0,2.0,2.0,,,,,2.0,1.65,,1.63,3.37,2.64,3.23,,,,,2.803144,1.0,,1.0,2.0,2.0,2.0,,,,,1.741556,1.0,,1.0,3.0,2.0,3.0,,,,,3.0
labs,ast,u/l,9796.0,15901.0,8972.0,13125.0,4833.0,5581.0,1335.0,5541.0,13790.0,13843.0,92717,82123.0,173600.0,48997.0,98451.0,22372.0,46307.0,4335.0,40185.0,93414.0,127947.0,737731,82123.0,173600.0,48997.0,98451.0,22372.0,46307.0,4335.0,40185.0,93414.0,127947.0,737731,9.74,9.62,8.01,8.71,7.56,8.52,18.57,8.62,8.25,11.78,9.362308,233.84,230.93,192.19,209.04,181.53,204.43,445.64,206.99,197.93,282.82,224.719787,8.38,10.92,5.46,7.5,4.63,8.3,3.25,7.25,6.77,9.24,7.955733,4.0,5.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,3.711585,7.0,10.0,5.0,7.0,4.0,8.0,3.0,6.0,6.0,8.0,10.0,2.29,2.79,1.73,2.08,1.82,2.52,0.81,1.96,1.98,2.3,2.195532,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.486653,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2,3.46,4.34,2.53,3.16,2.5,3.76,1.26,2.96,3.02,3.43,3.314996,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.217296,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,4.31,5.47,3.07,3.94,2.93,4.65,1.6,3.72,3.75,4.26,4.120068,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.845077,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0
labs,glucose_fingerstick,mg/dl,279.0,,,1.0,5602.0,5245.0,2962.0,6279.0,8176.0,15755.0,44299,499.0,,,1.0,201888.0,200761.0,118499.0,183623.0,337058.0,546392.0,1588721,499.0,,,1.0,201888.0,200761.0,118499.0,183623.0,337058.0,546392.0,1588721,7.66,,,4.15,7.81,8.81,13.32,8.51,7.14,11.05,9.423664,183.85,,,99.5,187.38,211.41,319.57,204.18,171.25,265.1,226.085124,1.79,,,1.0,36.04,38.28,40.01,29.24,41.23,34.68,35.864524,1.0,,,1.0,12.0,16.0,13.0,14.0,17.0,13.0,14.03289,1.0,,,0.0,36.0,36.0,36.0,29.0,40.0,33.0,40.0,0.94,,,0.0,8.84,7.4,5.38,6.2,9.16,5.84,7.00611,1.0,,,0.0,5.0,4.0,3.0,4.0,6.0,4.0,4.409738,1.0,,,0.0,9.0,7.0,6.0,6.0,7.0,6.0,9,1.2,,,1.0,14.77,13.15,9.82,10.42,15.19,10.21,12.000612,1.0,,,1.0,8.0,7.0,6.0,7.0,11.0,7.0,7.759927,1.0,,,0.0,16.0,13.0,12.0,10.0,12.0,10.0,16.0,1.37,,,1.0,18.98,17.47,13.2,13.56,19.63,13.55,15.723969,1.0,,,1.0,10.0,10.0,8.0,9.0,13.0,9.0,9.865685,0.0,,,0.0,21.0,17.0,15.0,13.0,17.0,13.0,21.0
labs,lymphocytes_percent,%,3310.0,,6792.0,11552.0,3795.0,4701.0,5111.0,3707.0,10145.0,16279.0,65392,12198.0,,18020.0,77293.0,19039.0,28638.0,59939.0,15695.0,51541.0,145390.0,427753,12198.0,,18020.0,77293.0,19039.0,28638.0,59939.0,15695.0,51541.0,145390.0,427753,11.33,,8.34,8.71,7.92,8.5,13.36,8.65,8.33,10.21,9.417748,271.93,,200.06,209.04,190.13,204.06,320.69,207.7,200.0,245.12,226.06518,3.69,,2.65,6.69,5.02,6.09,11.73,4.23,5.08,8.93,6.540804,1.0,,2.0,3.0,2.0,3.0,6.0,2.0,2.0,4.0,3.008457,2.0,,2.0,6.0,4.0,6.0,10.0,3.0,3.0,8.0,10.0,0.88,,1.1,1.62,1.55,1.8,2.73,1.16,1.31,2.06,1.659532,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.078159,1.0,,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,3,1.33,,1.42,2.6,2.23,2.68,4.25,1.71,2.04,3.25,2.550877,1.0,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.711845,1.0,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.66,,1.64,3.34,2.71,3.31,5.32,2.13,2.6,4.13,3.207695,1.0,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.03895,1.0,,1.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,5.0
labs,bilirubin_total,mg/dl,9810.0,16099.0,8925.0,13154.0,4838.0,5582.0,4256.0,5563.0,13849.0,17013.0,99089,83635.0,180474.0,49374.0,98618.0,22544.0,46892.0,25255.0,41602.0,96160.0,138295.0,782849,83635.0,180474.0,49374.0,98618.0,22544.0,46892.0,25255.0,41602.0,96160.0,138295.0,782849,9.74,9.55,8.06,8.69,7.57,8.52,13.76,8.61,8.23,10.68,9.303323,233.79,229.23,193.53,208.65,181.57,204.46,330.25,206.59,197.6,256.34,223.313399,8.53,11.21,5.53,7.5,4.66,8.4,5.93,7.48,6.94,8.13,7.900678,4.0,5.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,3.715619,7.0,11.0,5.0,7.0,4.0,8.0,6.0,6.0,6.0,6.0,11.0,2.33,2.9,1.74,2.08,1.83,2.56,1.66,1.98,2.05,2.08,2.194339,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.317805,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,3.53,4.5,2.56,3.16,2.51,3.81,2.37,3.01,3.1,3.11,3.305856,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.317805,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,4.39,5.65,3.11,3.95,2.95,4.71,2.9,3.79,3.86,3.85,4.10426,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.84086,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0
labs,total_protein,g/dl,9790.0,16096.0,687.0,13194.0,4878.0,5582.0,410.0,5581.0,13859.0,16555.0,86632,82358.0,180191.0,825.0,99195.0,22946.0,46325.0,802.0,40738.0,93337.0,125134.0,691851,82358.0,180191.0,825.0,99195.0,22946.0,46325.0,802.0,40738.0,93337.0,125134.0,691851,9.76,9.55,8.91,8.68,7.66,8.52,13.39,8.6,8.22,10.75,9.236889,234.14,229.22,213.95,208.43,183.86,204.36,321.4,206.32,197.35,258.07,221.708373,8.41,11.19,1.2,7.52,4.7,8.3,1.96,7.3,6.73,7.56,7.984583,4.0,5.0,1.0,3.0,2.0,5.0,1.0,4.0,3.0,3.0,3.596258,7.0,11.0,0.0,7.0,4.0,8.0,1.0,6.0,6.0,7.0,11.0,2.3,2.9,0.48,2.09,1.84,2.52,0.33,1.98,2.01,1.94,2.208211,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.350575,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3,3.48,4.49,0.7,3.18,2.52,3.76,0.7,2.99,3.04,2.9,3.337958,3.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.345842,3.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.33,5.65,0.81,3.96,2.97,4.65,1.0,3.75,3.77,3.59,4.150907,3.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.753094,3.0,5.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0
labs,crp,mg/l,1140.0,258.0,832.0,2399.0,608.0,700.0,913.0,1152.0,4547.0,2069.0,14618,1754.0,611.0,1666.0,10369.0,1279.0,2219.0,3226.0,3513.0,15555.0,4356.0,44548,1754.0,611.0,1666.0,10369.0,1279.0,2219.0,3226.0,3513.0,15555.0,4356.0,44548,11.23,10.61,10.14,9.97,9.83,10.07,22.34,10.52,10.02,17.68,12.010949,269.52,254.54,243.48,239.33,235.86,241.72,536.08,252.59,240.49,424.24,288.270922,1.54,2.37,2.0,4.32,2.1,3.17,3.53,3.05,3.42,2.11,3.047158,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.373512,0.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,0.58,0.73,0.68,0.9,0.67,0.86,0.54,0.8,1.01,0.41,0.782538,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.796005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.78,1.04,1.0,1.36,0.93,1.21,0.87,1.16,1.51,0.62,1.159118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.91,1.31,1.21,1.74,1.15,1.52,1.15,1.44,1.9,0.81,1.460089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0
labs,bilirubin_conjugated,mg/dl,3679.0,4389.0,1858.0,6877.0,2670.0,1547.0,386.0,5116.0,6847.0,14688.0,48057,12199.0,13023.0,4131.0,44333.0,9875.0,3014.0,857.0,31260.0,25154.0,119663.0,263509,12199.0,13023.0,4131.0,44333.0,9875.0,3014.0,857.0,31260.0,25154.0,119663.0,263509,11.14,10.96,10.29,10.58,8.85,8.71,14.72,8.64,10.01,11.43,10.495356,267.27,263.12,247.08,253.97,212.38,209.09,353.34,207.39,240.3,274.29,251.904307,3.32,2.97,2.22,6.45,3.7,1.95,2.22,6.11,3.67,8.15,5.484696,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.241879,2.0,2.0,1.0,6.0,3.0,1.0,2.0,6.0,2.0,8.0,8.0,0.86,0.71,0.6,1.44,1.06,0.71,0.23,1.57,0.9,2.01,1.353236,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.953305,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2,1.36,1.15,0.93,2.32,1.67,1.02,0.53,2.41,1.46,3.01,2.091513,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.404062,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.7,1.47,1.16,3.0,2.07,1.22,0.81,3.07,1.86,3.74,2.634246,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.8528,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0
labs,lactate,mmol/l,8559.0,15211.0,9517.0,11891.0,4687.0,4673.0,5123.0,5928.0,13257.0,17849.0,96695,83727.0,164020.0,107750.0,162795.0,35484.0,44303.0,67073.0,64891.0,121392.0,606268.0,1457703,83727.0,164020.0,107750.0,162795.0,35484.0,44303.0,67073.0,64891.0,121392.0,606268.0,1457703,9.24,9.21,7.71,8.5,7.43,8.51,12.93,8.13,7.42,10.38,8.959039,221.8,221.13,185.02,203.97,178.31,204.23,310.31,195.09,178.14,249.03,215.017251,9.78,10.78,11.32,13.69,7.57,9.48,13.09,10.95,9.16,33.97,15.075431,4.0,5.0,6.0,4.0,4.0,4.0,7.0,6.0,3.0,10.0,5.606153,7.0,10.0,11.0,10.0,6.0,8.0,12.0,9.0,7.0,27.0,27.0,3.5,4.54,4.02,4.9,3.84,3.57,3.84,4.01,3.77,8.21,4.862528,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.739201,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,8.0,8,4.96,6.33,5.72,6.96,4.91,5.02,5.74,5.76,5.27,12.36,6.995582,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,6.0,3.839671,5.0,6.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,13.0,13.0,5.89,7.35,6.79,8.31,5.48,5.97,6.99,6.85,6.17,15.39,8.398976,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,7.0,4.161363,6.0,7.0,7.0,8.0,6.0,6.0,7.0,7.0,5.0,15.0,15.0
